messier_id,ngc_id,v_mag,type,comments,ra,dec,ref,is_up
,NGC 6388,6.9,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,17.605,-44.733,,
,NGC 6389,14.0,Gx,GALAXY,17.545,16.4,,
,NGC 639,15.0,Gx,GALAXY,1.648,-29.917,,
,NGC 6390,14.0,Gx,GALAXY,17.475,60.1,,
,NGC 6391,15.0,Gx,GALAXY,17.482,58.867,,
,NGC 6392,,Gx,GALAXY,17.725,-69.783,,
,NGC 6393,15.0,Gx,GALAXY,17.505,59.65,,
,NGC 6394,16.0,Gx,GALAXY,17.502,59.533,,
,NGC 6395,13.0,Gx,GALAXY,17.44,71.1,,
,NGC 6396,8.5,OC,OPEN STAR CLUSTER,17.635,-35.0,,
,NGC 6397,5.7,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,17.678,-53.667,,
,NGC 6398,,Gx,GALAXY,17.712,-61.683,,
,NGC 6399,15.0,Gx,GALAXY,17.53,59.633,,
,NGC 64,14.0,Gx,GALAXY,0.292,-6.85,,
,NGC 640,15.0,Gx,GALAXY,1.655,-9.383,,
,NGC 6400,9.0,OC,OPEN STAR CLUSTER,17.68,-36.95,,
,NGC 6401,9.5,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,17.643,-23.917,,
,NGC 6402,7.6,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,17.627,-3.25,,
,NGC 6403,,Gx,GALAXY,17.72,-61.683,,
,NGC 6404,11.0,OC,OPEN STAR CLUSTER,17.66,-33.25,,
,NGC 6405,4.2,OC,OPEN STAR CLUSTER,17.668,-32.217,,
,NGC 6406,,-,UNIDENTIFIED,17.638,18.833,,
,NGC 6407,,Gx,GALAXY,17.75,-60.733,,
,NGC 6408,14.0,Gx,GALAXY,17.647,18.867,,
,NGC 6409,15.0,Gx,GALAXY,17.61,50.767,,
,NGC 641,,Gx,GALAXY,1.645,-42.517,,
,NGC 6410,,SS,STAR,17.587,60.817,,
,NGC 6411,13.0,Gx,GALAXY,17.593,60.8,,
,NGC 6412,11.8,Gx,GALAXY,17.493,75.7,,
,NGC 6413,,-,UNIDENTIFIED,17.678,12.617,,
,NGC 6414,15.0,Gx,GALAXY,17.51,74.383,,
,NGC 6415,,-,UNIDENTIFIED,17.74,-35.017,,
,NGC 6416,5.7,OC,OPEN STAR CLUSTER,17.74,-32.35,,
,NGC 6417,14.0,Gx,GALAXY,17.695,23.667,,
,NGC 6418,14.0,Gx,GALAXY,17.635,58.717,,
,NGC 6419,15.0,Gx,GALAXY,17.598,68.133,,
,NGC 642,14.0,Gx,GALAXY,1.65,-29.9,,
,NGC 6420,15.0,Gx,GALAXY,17.602,68.017,,
,NGC 6421,,-,UNIDENTIFIED,17.763,-33.7,,
,NGC 6422,15.0,Gx,GALAXY,17.605,68.033,,
,NGC 6423,15.0,Gx,GALAXY,17.612,68.15,,
,NGC 6424,15.0,Gx,GALAXY,17.603,69.983,,
,NGC 6425,7.2,OC,OPEN STAR CLUSTER,17.782,-31.533,,
,NGC 6426,11.2,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,17.748,3.0,,
,NGC 6427,14.0,Gx,GALAXY,17.727,25.483,,
,NGC 6428,,-,UNIDENTIFIED,17.732,25.533,,
,NGC 6429,14.0,Gx,GALAXY,17.733,25.35,,
,NGC 643,13.0,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,1.585,-75.55,,
,NGC 6430,,Ast,STAR,17.743,18.15,,
,NGC 6431,,-,UNIDENTIFIED,17.738,25.5,,
,NGC 6432,,U,UNIDENTIFIED,17.79,-24.883,,
,NGC 6433,14.0,Gx,GALAXY,17.733,36.767,,
,NGC 6434,13.0,Gx,GALAXY,17.613,72.083,,
,NGC 6435,15.0,Gx,GALAXY,17.668,62.617,,
,NGC 6436,15.0,Gx,GALAXY,17.687,60.45,,
,NGC 6437,,-,UNIDENTIFIED,17.818,-35.433,,
,NGC 6438,13.0,Gx,GALAXY,18.433,-85.417,,
,NGC 6439,14.0,Pl,PLANETARY NEBULA,17.805,-16.483,,
,NGC 644,,Gx,GALAXY,1.648,-42.583,,
,NGC 6440,9.7,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,17.815,-20.367,,
,NGC 6441,7.4,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,17.837,-37.05,,
,NGC 6442,14.0,Gx,GALAXY,17.782,20.75,,
,NGC 6443,15.0,Gx,GALAXY,17.743,48.083,,
,NGC 6444,,OC,OPEN STAR CLUSTER,17.825,-34.817,,
,NGC 6445,13.0,Pl,PLANETARY NEBULA,17.82,-20.017,,
,NGC 6446,15.0,Gx,GALAXY,17.768,35.55,,
,NGC 6447,14.0,Gx,GALAXY,17.772,35.55,,
,NGC 6448,,-,UNIDENTIFIED,17.738,53.533,,
,NGC 6449,14.0,Gx,GALAXY,17.728,56.783,,
,NGC 645,14.0,Gx,GALAXY,1.67,5.733,,
,NGC 6450,,-,UNIDENTIFIED,17.792,18.583,,
,NGC 6451,8.0,OC,OPEN STAR CLUSTER,17.845,-30.217,,
,NGC 6452,15.0,Gx,GALAXY,17.8,20.85,,
,NGC 6453,9.9,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,17.848,-34.6,,
,NGC 6454,15.0,Gx,GALAXY,17.748,55.7,,
,NGC 6455,,-,UNIDENTIFIED,17.867,-35.383,,
,NGC 6456,15.0,Gx,GALAXY,17.707,67.567,,
,NGC 6457,14.0,Gx,GALAXY,17.713,66.467,,
,NGC 6458,15.0,Gx,GALAXY,17.82,20.817,,
,NGC 6459,16.0,Gx,GALAXY,17.765,55.75,,
,NGC 646,,Gx,GALAXY,1.623,-64.917,,
,NGC 6460,14.0,Gx,GALAXY,17.827,20.767,,
,NGC 6461,15.0,Gx,GALAXY,17.645,73.5,,
,NGC 6462,14.0,Gx,GALAXY,17.745,61.883,,
,NGC 6463,15.0,Gx,GALAXY,17.725,67.583,,
,NGC 6464,15.0,Gx,GALAXY,17.763,60.883,,
,NGC 6465,,U,UNIDENTIFIED,17.882,-25.4,,
,NGC 6466,15.0,Gx,GALAXY,17.803,51.433,,
,NGC 6467,15.0,Gx,GALAXY,17.845,17.533,,
,NGC 6468,14.0,Gx,GALAXY,17.845,17.533,,
,NGC 6469,8.0,OC,OPEN STAR CLUSTER,17.882,-22.35,,
,NGC 647,14.0,Gx,GALAXY,1.663,-9.217,,
,NGC 6470,15.0,Gx,GALAXY,17.735,67.567,,
,NGC 6471,15.0,Gx,GALAXY,17.735,67.567,,
,NGC 6472,15.0,Gx,GALAXY,17.737,67.6,,
,NGC 6473,15.0,Gx,GALAXY,17.783,57.333,,
,NGC 6474,,-,UNIDENTIFIED,17.782,57.333,,
,NGC 6475,3.3,OC,OPEN STAR CLUSTER,17.898,-34.817,,
,NGC 6476,,-,UNIDENTIFIED,17.897,-29.133,,
,NGC 6477,,Gx,GALAXY,17.732,67.617,,
,NGC 6478,14.0,Gx,GALAXY,17.81,51.15,,
,NGC 6479,14.0,Gx,GALAXY,17.805,54.167,,
,NGC 648,14.0,Gx,GALAXY,1.645,-17.833,,
,NGC 6480,,-,UNIDENTIFIED,17.91,-30.433,,
,NGC 6481,,DS,STAR,17.88,4.167,,
,NGC 6482,11.3,Gx,GALAXY,17.863,23.067,,
,NGC 6483,,Gx,GALAXY,17.992,-63.667,,
,NGC 6484,13.0,Gx,GALAXY,17.862,24.5,,
,NGC 6485,14.0,Gx,GALAXY,17.863,31.467,,
,NGC 6486,15.0,Gx,GALAXY,17.877,29.833,,
,NGC 6487,14.0,Gx,GALAXY,17.878,29.85,,
,NGC 6488,14.0,Gx,GALAXY,17.822,62.233,,
,NGC 6489,15.0,Gx,GALAXY,17.833,60.1,,
,NGC 649,15.0,Gx,GALAXY,1.667,-9.233,,
,NGC 6490,14.0,Gx,GALAXY,17.908,18.383,,
,NGC 6491,14.0,Gx,GALAXY,17.835,61.533,,
,NGC 6492,,Gx,GALAXY,18.047,-66.417,,
,NGC 6493,,Gx,GALAXY,17.84,61.55,,
,NGC 6494,5.5,OC,OPEN STAR CLUSTER,17.947,-19.017,,
,NGC 6495,14.0,Gx,GALAXY,17.913,18.333,,
,NGC 6496,9.2,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,17.983,-44.267,,
,NGC 6497,14.0,Gx,GALAXY,17.853,59.5,,
,NGC 6498,,-,UNIDENTIFIED,17.85,59.483,,
,NGC 6499,,DS,STAR,17.922,18.383,,
,NGC 65,15.0,Gx,GALAXY,0.318,-22.9,,
,NGC 650,12.0,Pl,PLANETARY NEBULA,1.705,51.567,,
,NGC 6500,13.0,Gx,GALAXY,17.933,18.333,,
,NGC 6501,12.3,Gx,GALAXY,17.935,18.367,,
,NGC 6502,,Gx,GALAXY,18.07,-65.417,,
,NGC 6503,10.2,Gx,GALAXY,17.823,70.15,,
,NGC 6504,13.0,Gx,GALAXY,17.933,33.2,,
,NGC 6505,15.0,Gx,GALAXY,17.855,65.55,,
,NGC 6506,,-,UNIDENTIFIED,17.997,-24.65,,
,NGC 6507,10.0,OC,OPEN STAR CLUSTER,17.993,-17.4,,
,NGC 6508,14.0,Gx,GALAXY,17.832,72.033,,
,NGC 6509,13.0,Gx,GALAXY,17.99,6.283,,
,NGC 651,12.0,Pl,PLANETARY NEBULA,1.705,51.583,,
,NGC 6510,,U,UNIDENTIFIED,17.9,60.8,,
,NGC 6511,,U,UNIDENTIFIED,17.912,60.8,,
,NGC 6512,15.0,Gx,GALAXY,17.913,62.65,,
,NGC 6513,14.0,Gx,GALAXY,17.992,24.9,,
,NGC 6514,6.3,C+N,OPEN STAR CLUSTER,18.038,-23.033,,
,NGC 6515,14.0,Gx,GALAXY,17.957,50.733,,
,NGC 6516,15.0,Gx,GALAXY,17.92,62.667,,
,NGC 6517,10.3,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.03,-8.967,,
,NGC 6518,15.0,Gx,GALAXY,17.995,28.867,,
,NGC 6519,,-,UNIDENTIFIED,18.057,-29.8,,
,NGC 652,14.0,Gx,GALAXY,1.678,7.983,,
,NGC 6520,8.0,OC,OPEN STAR CLUSTER,18.057,-27.9,,
,NGC 6521,14.0,Gx,GALAXY,17.93,62.617,,
,NGC 6522,8.6,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.06,-30.033,,
,NGC 6523,5.8,Nb,REFLECTION NEBULA,18.063,-24.383,,
,NGC 6524,14.0,Gx,GALAXY,17.987,45.917,,
,NGC 6525,,-,UNIDENTIFIED,18.035,11.05,,
,NGC 6526,,Nb,REFLECTION NEBULA,18.043,-23.583,,
,NGC 6527,15.0,Gx,GALAXY,18.03,19.733,,
,NGC 6528,9.5,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.08,-30.05,,
,NGC 6529,,-,UNIDENTIFIED,18.092,-36.3,,
,NGC 653,14.0,Gx,GALAXY,1.707,35.65,,
,NGC 6530,4.6,OC,OPEN STAR CLUSTER,18.08,-24.333,,
,NGC 6531,5.9,OC,OPEN STAR CLUSTER,18.077,-22.5,,
,NGC 6532,15.0,Gx,GALAXY,17.985,56.217,,
,NGC 6533,,-,UNIDENTIFIED,18.085,-24.883,,
,NGC 6534,15.0,Gx,GALAXY,17.933,64.317,,
,NGC 6535,10.6,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.063,-0.3,,
,NGC 6536,14.0,Gx,GALAXY,17.955,64.933,,
,NGC 6537,13.0,Pl,PLANETARY NEBULA,18.087,-19.85,,
,NGC 6538,14.0,Gx,GALAXY,17.903,73.417,,
,NGC 6539,9.6,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.08,-7.583,,
,NGC 654,6.5,OC,OPEN STAR CLUSTER,1.735,61.883,,
,NGC 6540,15.0,OC,OPEN STAR CLUSTER,18.105,-27.817,,
,NGC 6541,6.6,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.133,-43.7,,
,NGC 6542,14.0,Gx,GALAXY,17.995,61.367,,
,NGC 6543,9.0,Pl,PLANETARY NEBULA,17.977,66.633,,
,NGC 6544,8.3,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.122,-25.0,,
,NGC 6545,,Gx,GALAXY,18.205,-63.767,,
,NGC 6546,8.0,OC,OPEN STAR CLUSTER,18.12,-23.333,,
,NGC 6547,14.0,Gx,GALAXY,18.085,25.217,,
,NGC 6548,13.0,Gx,GALAXY,18.1,18.583,,
,NGC 6549,15.0,Gx,GALAXY,18.097,18.533,,
,NGC 655,14.0,Gx,GALAXY,1.7,-13.067,,
,NGC 6550,13.0,Gx,GALAXY,18.1,18.583,,
,NGC 6551,,-,UNIDENTIFIED,18.15,-29.55,,
,NGC 6552,14.0,Gx,GALAXY,18.002,66.6,,
,NGC 6553,8.3,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.155,-25.9,,
,NGC 6554,,-,UNIDENTIFIED,18.152,-18.433,,
,NGC 6555,12.0,Gx,GALAXY,18.13,17.6,,
,NGC 6556,,U,UNIDENTIFIED,18.167,-27.517,,
,NGC 6557,,Gx,GALAXY,18.357,-76.567,,
,NGC 6558,,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.172,-31.767,,
,NGC 6559,,Nb,REFLECTION NEBULA,18.167,-24.1,,
,NGC 656,13.0,Gx,GALAXY,1.707,26.15,,
,NGC 6560,14.0,Gx,GALAXY,18.088,46.867,,
,NGC 6561,,-,UNIDENTIFIED,18.175,-16.8,,
,NGC 6562,14.0,Gx,GALAXY,18.082,56.25,,
,NGC 6563,14.0,Pl,PLANETARY NEBULA,18.2,-33.867,,
,NGC 6564,,-,UNIDENTIFIED,18.152,17.4,,
,NGC 6565,13.0,Pl,PLANETARY NEBULA,18.198,-28.183,,
,NGC 6566,15.0,Gx,GALAXY,18.117,52.267,,
,NGC 6567,12.0,Pl,PLANETARY NEBULA,18.228,-19.083,,
,NGC 6568,9.0,OC,OPEN STAR CLUSTER,18.213,-21.6,,
,NGC 6569,8.7,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.227,-31.833,,
,NGC 657,,OC,OPEN STAR CLUSTER,1.728,55.883,,
,NGC 6570,13.0,Gx,GALAXY,18.185,14.1,,
,NGC 6571,15.0,Gx,GALAXY,18.182,21.233,,
,NGC 6572,9.0,Pl,PLANETARY NEBULA,18.202,6.85,,
,NGC 6573,,-,UNIDENTIFIED,18.23,-22.167,,
,NGC 6574,12.0,Gx,GALAXY,18.198,14.983,,
,NGC 6575,14.0,Gx,GALAXY,18.18,31.083,,
,NGC 6576,15.0,Gx,GALAXY,18.197,21.417,,
,NGC 6577,14.0,Gx,GALAXY,18.202,21.467,,
,NGC 6578,13.0,Pl,PLANETARY NEBULA,18.272,-20.45,,
,NGC 6579,,U,UNIDENTIFIED,18.205,21.433,,
,NGC 658,14.0,Gx,GALAXY,1.703,12.583,,
,NGC 6580,,U,UNIDENTIFIED,18.207,21.433,,
,NGC 6581,15.0,Gx,GALAXY,18.21,25.417,,
,NGC 6582,15.0,Gx,GALAXY,18.183,49.883,,
,NGC 6583,10.0,OC,OPEN STAR CLUSTER,18.263,-22.133,,
,NGC 6584,9.2,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.31,-52.217,,
,NGC 6585,13.0,Gx,GALAXY,18.207,39.617,,
,NGC 6586,14.0,Gx,GALAXY,18.228,21.083,,
,NGC 6587,12.1,Gx,GALAXY,18.232,18.833,,
,NGC 6588,,U,UNIDENTIFIED,18.358,-63.8,,
,NGC 6589,,U,UNIDENTIFIED,18.282,-19.767,,
,NGC 659,7.9,OC,OPEN STAR CLUSTER,1.737,60.7,,
,NGC 6590,,C+N,OPEN STAR CLUSTER,18.283,-19.883,,
,NGC 6591,,Gx,GALAXY,18.233,21.033,,
,NGC 6592,15.0,Gx,GALAXY,18.165,61.417,,
,NGC 6593,15.0,Gx,GALAXY,18.237,22.283,,
,NGC 6594,15.0,Gx,GALAXY,18.17,61.117,,
,NGC 6595,7.0,OC,OPEN STAR CLUSTER,18.283,-19.883,,
,NGC 6596,,OC,OPEN STAR CLUSTER,18.292,-16.667,,
,NGC 6597,15.0,Gx,GALAXY,18.188,61.167,,
,NGC 6598,14.0,Gx,GALAXY,18.147,69.067,,
,NGC 6599,13.0,Gx,GALAXY,18.26,24.933,,
,NGC 66,14.0,Gx,GALAXY,0.32,-22.95,,
,NGC 660,10.8,Gx,GALAXY,1.717,13.633,,
,NGC 6600,,-,UNIDENTIFIED,18.262,25.033,,
,NGC 6601,15.0,Gx,GALAXY,18.198,61.433,,
,NGC 6602,14.0,Gx,GALAXY,18.277,25.033,,
,NGC 6603,11.0,OC,OPEN STAR CLUSTER,18.307,-18.417,,
,NGC 6604,6.5,C+N,OPEN STAR CLUSTER,18.302,-12.233,,
,NGC 6605,6.0,OC,OPEN STAR CLUSTER,18.285,-14.967,,
,NGC 6606,14.0,Gx,GALAXY,18.245,43.267,,
,NGC 6607,15.0,Gx,GALAXY,18.205,61.317,,
,NGC 6608,15.0,Gx,GALAXY,18.21,61.317,,
,NGC 6609,15.0,Gx,GALAXY,18.21,61.317,,
,NGC 661,13.0,Gx,GALAXY,1.737,28.7,,
,NGC 6610,,-,UNIDENTIFIED,18.287,15.0,,
,NGC 6611,6.0,C+N,OPEN STAR CLUSTER,18.313,-13.783,,
,NGC 6612,15.0,Gx,GALAXY,18.27,36.083,,
,NGC 6613,6.9,OC,OPEN STAR CLUSTER,18.332,-17.133,,
,NGC 6614,,Gx,GALAXY,18.42,-63.233,,
,NGC 6615,15.0,Gx,GALAXY,18.31,13.267,,
,NGC 6616,15.0,Gx,GALAXY,18.297,22.25,,
,NGC 6617,15.0,Gx,GALAXY,18.235,61.317,,
,NGC 6618,6.0,C+N,OPEN STAR CLUSTER,18.347,-16.183,,
,NGC 6619,14.0,Gx,GALAXY,18.313,23.667,,
,NGC 662,14.3,Gx,GALAXY,1.742,37.683,,
,NGC 6620,15.0,Pl,PLANETARY NEBULA,18.382,-26.817,,
,NGC 6621,13.1,Gx,GALAXY,18.215,68.367,,
,NGC 6622,13.0,Gx,GALAXY,18.217,68.333,,
,NGC 6623,14.0,Gx,GALAXY,18.325,23.717,,
,NGC 6624,8.3,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.395,-30.367,,
,NGC 6625,9.0,OC,OPEN STAR CLUSTER,18.387,-12.05,,
,NGC 6626,6.9,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.408,-24.867,,
,NGC 6627,13.2,Gx,GALAXY,18.378,15.7,,
,NGC 6628,15.0,Gx,GALAXY,18.37,23.483,,
,NGC 6629,12.0,Pl,PLANETARY NEBULA,18.428,-23.2,,
,NGC 663,7.1,OC,OPEN STAR CLUSTER,1.767,61.25,,
,NGC 6630,,Gx,GALAXY,18.543,-63.283,,
,NGC 6631,12.0,OC,OPEN STAR CLUSTER,18.453,-12.033,,
,NGC 6632,13.0,Gx,GALAXY,18.417,27.533,,
,NGC 6633,4.6,OC,OPEN STAR CLUSTER,18.462,6.567,,
,NGC 6634,,-,UNIDENTIFIED,18.498,-33.417,,
,NGC 6635,15.0,Gx,GALAXY,18.46,14.817,,
,NGC 6636,14.0,Gx,GALAXY,18.367,66.633,,
,NGC 6637,7.7,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.523,-32.35,,
,NGC 6638,9.2,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.515,-25.5,,
,NGC 6639,,OC,OPEN STAR CLUSTER,18.502,-13.2,,
,NGC 664,14.0,Gx,GALAXY,1.73,4.233,,
,NGC 6640,14.0,Gx,GALAXY,18.468,34.3,,
,NGC 6641,14.0,Gx,GALAXY,18.48,22.9,,
,NGC 6642,8.8,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.532,-23.483,,
,NGC 6643,11.1,Gx,GALAXY,18.33,74.567,,
,NGC 6644,12.0,Pl,PLANETARY NEBULA,18.543,-25.133,,
,NGC 6645,9.0,OC,OPEN STAR CLUSTER,18.543,-16.9,,
,NGC 6646,13.0,Gx,GALAXY,18.493,39.867,,
,NGC 6647,8.0,OC,OPEN STAR CLUSTER,18.525,-17.35,,
,NGC 6648,,-,UNIDENTIFIED,18.427,64.983,,
,NGC 6649,8.9,OC,OPEN STAR CLUSTER,18.558,-10.4,,
,NGC 665,13.0,Gx,GALAXY,1.747,10.433,,
,NGC 6650,15.0,Gx,GALAXY,18.423,68.0,,
,NGC 6651,14.0,Gx,GALAXY,18.405,71.6,,
,NGC 6652,8.9,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.597,-32.983,,
,NGC 6653,,Gx,GALAXY,18.743,-73.267,,
,NGC 6654,11.6,Gx,GALAXY,18.402,73.183,,
,NGC 6655,,-,UNIDENTIFIED,18.58,-5.983,,
