messier_id,ngc_id,v_mag,type,comments,ra,dec,ref,is_up
,NGC 6656,5.1,Gb,GLOBULAR CLUSTER EXTENDED GALACTIC OR EXTRAGALACTIC,18.607,-23.9,,
,NGC 6657,14.0,Gx,GALAXY,18.55,34.033,,
,NGC 6658,12.9,Gx,GALAXY,18.565,22.883,,
,NGC 6659,,-,UNIDENTIFIED,18.565,23.567,,
,NGC 666,13.0,Gx,GALAXY,1.767,34.383,,
,NGC 6660,,U,UNIDENTIFIED,18.577,22.917,,
,NGC 6661,11.9,Gx,GALAXY,18.577,22.917,,
,NGC 6662,15.0,Gx,GALAXY,18.567,32.05,,
,NGC 6663,15.0,Gx,GALAXY,18.558,40.05,,
,NGC 6664,7.8,OC,OPEN STAR CLUSTER,18.612,-8.217,,
,NGC 6665,14.0,Gx,GALAXY,18.575,30.7,,
,NGC 6666,,U,UNIDENTIFIED,18.588,33.583,,
,NGC 6667,12.0,Gx,GALAXY,18.512,67.983,,
,NGC 6668,,U,UNIDENTIFIED,18.555,67.133,,
,NGC 6669,,Gx,GALAXY,18.633,22.067,,
,NGC 667,,Gx,GALAXY,1.752,-22.933,,
,NGC 6670,15.0,Gx,GALAXY,18.558,59.883,,
,NGC 6671,14.0,Gx,GALAXY,18.623,26.4,,
,NGC 6672,15.0,Gx,GALAXY,18.563,42.8,,
,NGC 6673,,Gx,GALAXY,18.752,-62.283,,
,NGC 6674,12.1,Gx,GALAXY,18.643,25.383,,
,NGC 6675,13.0,Gx,GALAXY,18.623,40.067,,
,NGC 6676,15.0,Gx,GALAXY,18.553,66.95,,
