messier_id,ngc_id,v_mag,type,comments,ra,dec,ref,is_up
M21,NGC 6531,5.9,OC,,18.067,-22.49,b'2009MNRAS.399.2146W',
M36,NGC 1960,6.0,OC,,5.6,34.14,b'2009MNRAS.399.2146W',
M16,NGC 6611,6.0,DN,Eagle nebula,18.3,-13.807,b'2009MNRAS.399.2146W',
M46,NGC 2437,6.1,OC,,7.683,-14.81,b'2009MNRAS.399.2146W',
M93,NGC 2447,6.2,OC,,7.733,-23.857,b'2009MNRAS.399.2146W',
M3,NGC 5272,6.4,GC,"1000 stars approx. 40,000 ly distant. 500 variable stars.",13.7,28.367,b'2010AJ....140.1830G',
M15,NGC 7078,6.4,GC,,21.483,12.167,b'2010AJ....140.1830G',
M38,NGC 1912,6.4,OC,,5.467,35.855,b'2002A&A...390..103D',
M92,NGC 6341,6.5,GC,,17.283,43.133,b'2010AJ....140.1830G',
M2,NGC 7089,6.5,GC,,21.55,-0.817,b'2010AJ....140.1830G',
M62,NGC 6266,6.6,GC,,17.017,-30.1,b'2006MNRAS.365.1357D',
M29,NGC 6913,6.6,OC,,20.383,38.523,b'2002A&A...392..869L',
M10,NGC 6254,6.6,GC,,16.95,-4.1,b'2010AJ....140.1830G',
M12,NGC 6218,6.6,GC,,16.783,-1.933,b'2010AJ....140.1830G',
M81,NGC 3031,6.8,SG,Bodes nebula,9.917,69.05,b'2004AJ....127.3587F',
M52,NGC 7654,6.9,OC,,23.4,61.593,b'2009MNRAS.399.2146W',
M18,NGC 6613,6.9,OC,,18.317,-17.102,b'2009MNRAS.399.2146W',
M67,NGC 2682,6.9,OC,,8.85,11.8,b'2005ApJ...619..824X',
M28,NGC 6626,6.9,GC,,18.4,-24.867,b'2006MNRAS.365.1357D',
M55,NGC 6809,7.0,GC,,19.65,-30.95,b'2010AJ....140.1830G',
M17,NGC 6618,7.0,DN,Omega nebula,18.333,-16.172,b'2009MNRAS.399.2146W',
M19,NGC 6273,7.2,GC,,17.033,-26.267,b'2006MNRAS.365.1357D',
M80,NGC 6093,7.2,GC,,16.283,-22.967,b'2010AJ....140.1830G',
M103,NGC 581,7.4,OC,,1.55,60.65,b'2009MNRAS.399.2146W',
M30,NGC 7099,7.5,GC,,21.667,-23.167,b'2010AJ....140.1830G',
M14,NGC 6402,7.6,GC,,17.617,-3.233,b'2006MNRAS.365.1357D',
M83,NGC 5236,7.6,SG,,13.617,-29.85,b'2006AJ....131.1163S',
M101,NGC 5457,7.7,SG,101 is the same as 102,14.05,54.333,b'2006AJ....131.1163S',
M102,NGC 5457,7.7,SG,102 is the same as 101,15.1,55.75,b'2006AJ....131.1163S',
M53,NGC 5024,7.7,GC,,13.2,18.167,b'2010AJ....140.1830G',
M54,NGC 6715,7.7,GC,,18.917,-30.467,b'2010AJ....140.1830G',
M69,NGC 6637,7.7,GC,,18.517,-32.333,b'2010AJ....140.1830G',
M9,NGC 6333,7.9,GC,,17.317,-18.5,b'2002MNRAS.332..441F',
M79,NGC 1904,8.0,GC,,5.4,-24.517,b'2006MNRAS.365.1357D',
M78,NGC 2068,8.0,DN,,5.767,0.067,b'',
M110,NGC 205,8.0,EG,,0.667,41.683,b'2006AJ....131.1163S',
M26,NGC 6694,8.0,OC,,18.75,-9.383,b'2009MNRAS.399.2146W',
M40,,8.0,dbl,Two separated faint stars - each same brightness,12.367,58.067,b'2001AJ....122.3466M',
M27,NGC 6853,8.1,PN,Dumbbell nebula,19.983,22.717,b'2006AJ....131.1163S',
M107,NGC 6171,8.1,GC,,16.533,-13.05,b'2010AJ....140.1830G',
M51,NGC 5194,8.1,SG,Whirlpool galaxy,13.483,47.183,b'2006AJ....131.1163S',
M70,NGC 6681,8.1,GC,,18.717,-32.283,b'2010AJ....140.1830G',
M94,NGC 4736,8.1,SG,,12.833,41.117,b'2006AJ....131.1163S',
M32,NGC 221,8.2,EG,,0.7,40.85,b'2006AJ....131.1163S',
M68,NGC 4590,8.2,GC,,12.65,-26.733,b'2010AJ....140.1830G',
M56,NGC 6779,8.2,GC,,19.267,30.183,b'2010AJ....140.1830G',
M106,NGC 4258,8.3,SG,,12.3,47.3,b'2006AJ....131.1163S',
M104,NGC 4594,8.3,SG,Sombrero galaxy,12.65,-11.617,b'2004AJ....127.3587F',
M71,NGC 6838,8.3,GC,,19.883,18.767,b'2010AJ....140.1830G',
M82,NGC 3034,8.4,IG,,9.917,69.667,b'2006AJ....131.1163S',
M49,NGC 4472,8.4,EG,,12.483,8.0,b'2006AJ....131.1163S',
M1,NGC 1952,8.4,PN,Crab nebula. Remnant of a supernova in the year 1054.,5.567,22.0,b'2011A&A...533A..10L',
M20,NGC 6514,8.5,DN,Trifid nebula,18.033,-22.972,b'2009MNRAS.399.2146W',
M64,NGC 4826,8.5,SG,Black eye galaxy,12.933,21.667,b'2006AJ....131.1163S',
M75,NGC 6864,8.6,GC,,20.1,-21.917,b'2006AJ....131.1163S',
M63,NGC 5055,8.6,SG,Sunflower galaxy,13.25,42.017,b'2006AJ....131.1163S',
M87,NGC 4486,8.6,EG,Virgo A,12.5,12.383,b'2009A&A...493..317L',
M77,NGC 1068,8.8,SG,,2.7,-0.0,b'2006AJ....131.1163S',
M60,NGC 4649,8.8,EG,,12.717,11.55,b'2006AJ....131.1163S',
